,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
85,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3421,112,-0.1731,-0.3443,117,-0.1346
86,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3334,96,-0.106,-0.2953,111,-0.0638
87,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3239,85,-0.0638,-0.256,89,-0.0322
88,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3066,50,-0.0385,-0.2315,69,-0.0154
89,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3072,51,-0.0271,-0.2201,45,-0.0077
90,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.377,140,-0.1909,-0.4638,136,-0.1823
91,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3506,121,-0.1098,-0.3509,121,-0.0728
92,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3433,115,-0.0509,-0.305,114,-0.0233
93,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3259,91,-0.0181,-0.2575,93,-0.0067
94,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3009,26,-0.0089,-0.2203,46,-0.0024
