,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
74,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1153,98,0.8985,0.5799,110,0.9741,0.7227,112,0.9972,0.6089,114,0.9947,0.7273,111,0.9917
75,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1106,103,0.9757,0.6171,93,0.9936,0.7471,93,0.9995,0.6404,96,0.9993,0.7624,95,0.9981
76,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1587,16,0.9933,0.6336,72,0.9985,0.7603,74,1.0,0.6605,85,1.0,0.7792,74,0.9998
77,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.149,39,0.9973,0.656,18,0.9995,0.7753,42,1.0,0.6877,50,1.0,0.7919,31,1.0
78,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0602,137,0.1389,0.4606,136,0.5725,0.6602,139,0.765,0.542,139,0.6468,0.6264,141,0.7203
79,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.0793,129,0.2212,0.5356,122,0.6761,0.7094,121,0.833,0.5923,119,0.7352,0.6922,128,0.7977
80,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.0985,114,0.3194,0.5789,112,0.754,0.7336,105,0.8866,0.623,105,0.8223,0.7257,114,0.8618
81,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1227,85,0.4359,0.6201,90,0.8187,0.7576,84,0.9216,0.6629,81,0.8848,0.7697,86,0.9031
82,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1394,57,0.5222,0.6344,68,0.8517,0.7593,78,0.9406,0.6714,71,0.921,0.7697,87,0.9282
83,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1517,30,0.5644,0.6551,20,0.8711,0.7779,32,0.9501,0.6883,46,0.9375,0.7881,45,0.939
